address,price,beds,baths,sqft,property_type,link,full_text
"1063-1065 Sanchez St, San Francisco, CA 94114PARK NORTH REAL ESTATE, Kathleen A. Tostanoski","$1,488,0004",4.0,1,"2,252",,https://www.zillow.com/homedetails/1063-1065-Sanchez-St-San-Francisco-CA-94114/331563044_zpid/,"1063-1065 Sanchez St, San Francisco, CA 94114PARK NORTH REAL ESTATE, Kathleen A. Tostanoski DRE #01851117$1,488,0004 bds1 ba2,252 sqft - Multi-family home for saleShow more"
"900 York St, San Francisco, CA 94110COMPASS, Scott Whelan","$1,195,0002",2.0,2,"1,436",House,https://www.zillow.com/homedetails/900-York-St-San-Francisco-CA-94110/454946447_zpid/,"900 York St, San Francisco, CA 94110COMPASS, Scott Whelan DRE #01509680$1,195,0002 bds2 ba1,436 sqft - House for saleShow more"
"401 28th St, San Francisco, CA 94131VANGUARD PROPERTIES, Derek M. Jackson","$1,495,0002",2.0,2,"1,538",House,https://www.zillow.com/homedetails/401-28th-St-San-Francisco-CA-94131/15182902_zpid/,"401 28th St, San Francisco, CA 94131VANGUARD PROPERTIES, Derek M. Jackson DRE #01971947$1,495,0002 bds2 ba1,538 sqft - House for saleShow more"
"1015 Ashbury St APT 3, San Francisco, CA 94117PARK NORTH REAL ESTATE, Kathleen A. Tostanoski","$588,0001",1.0,1,824,Condo,https://www.zillow.com/homedetails/1015-Ashbury-St-APT-3-San-Francisco-CA-94117/89237843_zpid/,"1015 Ashbury St APT 3, San Francisco, CA 94117PARK NORTH REAL ESTATE, Kathleen A. Tostanoski DRE #01851117$588,0001 bd1 ba824 sqft - Condo for saleShow more"
"1908 Buchanan St, San Francisco, CA 94115VANGUARD PROPERTIES, Robin Hubinsky","$1,995,0003",3.0,2,,House,https://www.zillow.com/homedetails/1908-Buchanan-St-San-Francisco-CA-94115/15075391_zpid/,"1908 Buchanan St, San Francisco, CA 94115VANGUARD PROPERTIES, Robin Hubinsky DRE #01330553$1,995,0003 bds2 ba-- sqft - House for saleShow more"
"1204-1206 Funston Ave, San Francisco, CA 94122COLDWELL BANKER REALTY, Ping Wang","$1,749,0004",4.0,2,"2,230",,https://www.zillow.com/homedetails/1204-1206-Funston-Ave-San-Francisco-CA-94122/331537117_zpid/,"1204-1206 Funston Ave, San Francisco, CA 94122COLDWELL BANKER REALTY, Ping Wang DRE #01957861$1,749,0004 bds2 ba2,230 sqft - Multi-family home for saleShow more"
"224 Twin Peaks Blvd, San Francisco, CA 94114VANGUARD PROPERTIES, Randy Romero","$2,750,0003",3.0,3,"1,542",House,https://www.zillow.com/homedetails/224-Twin-Peaks-Blvd-San-Francisco-CA-94114/15129666_zpid/,"224 Twin Peaks Blvd, San Francisco, CA 94114VANGUARD PROPERTIES, Randy Romero DRE #01348720$2,750,0003 bds3 ba1,542 sqft - House for saleShow more"
"3250 Folsom St, San Francisco, CA 94110CHRISTIE'S INT'L R.E. SERENO, Eugene  Pak","$1,099,0003",3.0,1,"1,668",House,https://www.zillow.com/homedetails/3250-Folsom-St-San-Francisco-CA-94110/15160120_zpid/,"3250 Folsom St, San Francisco, CA 94110CHRISTIE'S INT'L R.E. SERENO, Eugene  Pak DRE #01344334$1,099,0003 bds1 ba1,668 sqft - House for saleShow more"
"1396 Pacific Ave, San Francisco, CA 94109COLDWELL BANKER REALTY, Rachel E. Swann","$1,975,0003",3.0,2,"1,350",House,https://www.zillow.com/homedetails/1396-Pacific-Ave-San-Francisco-CA-94109/454925687_zpid/,"1396 Pacific Ave, San Francisco, CA 94109COLDWELL BANKER REALTY, Rachel E. Swann DRE #01860456$1,975,0003 bds2 ba1,350 sqft - House for saleShow more"
"65 Del Monte St, San Francisco, CA 94112","$899,9503",9503.0,1,"1,188",House,https://www.zillow.com/homedetails/65-Del-Monte-St-San-Francisco-CA-94112/15191292_zpid/,"65 Del Monte St, San Francisco, CA 94112$899,9503 bds1 ba1,188 sqft - House for saleShow more"
